name,steamid,team_name,kills,assists,deaths,headshots,hs_%,kd,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,health_damage,armor_damage,utility_damage,first_kill,first_death,trade_kill,trade_death,1k,2k,3k,4k,5k,match_checksum,tournament
sh1ro,76561198081484775,Team Spirit,15,7,8,7,46,1.875,89.473686,96.210526,0.789474,0.421053,1.0,1828,242,19,4,1,2,3,5,2,2,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,13,5,15,6,46,0.866667,63.15789,90.894737,0.684211,0.789474,3.894737,1727,222,74,1,1,2,3,4,3,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,15,4,13,5,33,1.153846,73.684212,69.052635,0.789474,0.684211,4.31579,1312,272,82,3,2,1,3,6,3,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,10,3,15,5,50,0.666667,52.63158,51.526318,0.526316,0.789474,0.0,979,154,0,0,4,1,2,3,2,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,10,2,14,5,50,0.714286,68.421051,69.0,0.526316,0.736842,0.631579,1311,139,12,1,1,0,5,6,2,0,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,13,4,14,5,38,0.928571,78.947372,90.052635,0.684211,0.736842,2.315789,1711,222,44,1,3,0,1,6,2,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,15,2,6,4,26,2.5,87.5,88.6875,0.9375,0.375,8.3125,1419,90,133,3,0,4,2,7,2,0,1,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,2,3,15,0,0,0.133333,50.0,27.8125,0.125,0.9375,6.5625,445,59,105,0,3,2,5,0,1,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,11,4,13,6,54,0.846154,75.0,73.375,0.6875,0.8125,3.4375,1174,232,55,2,4,2,3,5,3,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,10,5,14,3,30,0.714286,81.25,66.5625,0.625,0.875,0.0,1065,87,0,1,0,1,4,6,2,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,12,6,7,3,25,1.714286,87.5,86.75,0.75,0.4375,11.5625,1388,421,185,1,0,2,2,6,3,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,11,5,12,7,63,0.916667,81.25,75.8125,0.6875,0.75,0.4375,1213,170,7,0,1,6,4,4,2,1,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,8,3,14,5,62,0.571429,56.25,59.75,0.5,0.875,0.0,956,97,0,2,3,2,3,4,2,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,11,3,13,6,54,0.846154,81.25,70.75,0.6875,0.8125,9.25,1132,194,148,2,2,3,6,5,3,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,22,6,7,11,50,3.142857,93.75,129.875,1.375,0.4375,8.375,2078,294,134,4,0,5,3,8,2,2,1,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,8,7,9,5,62,0.888889,87.5,68.25,0.5,0.5625,9.4375,1092,254,151,1,3,1,3,6,1,0,0,0,d8b7e0bddd1b3eb3,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,8,7,13,5,62,0.615385,80.952385,50.333332,0.380952,0.619048,4.285714,1057,156,90,3,5,2,5,6,1,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,17,3,16,9,52,1.0625,66.666672,71.380951,0.809524,0.761905,2.095238,1499,166,44,2,1,3,3,6,4,1,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,13,4,17,12,92,0.764706,71.428574,77.761902,0.619048,0.809524,1.761905,1633,260,37,5,5,3,3,5,4,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,15,4,19,10,66,0.789474,71.428574,78.85714,0.714286,0.904762,0.047619,1656,250,1,2,2,4,3,9,3,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,24,1,8,11,45,3.0,85.714287,99.761902,1.142857,0.380952,1.857143,2095,222,39,1,1,8,2,8,3,2,1,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,23,7,17,15,65,1.352941,85.714287,118.190475,1.095238,0.809524,6.904762,2482,287,145,1,1,5,5,9,2,2,1,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,14,3,13,8,57,1.076923,71.428574,83.14286,0.666667,0.619048,3.142857,1746,308,66,1,2,3,3,8,3,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,7,4,16,5,71,0.4375,61.904762,46.619049,0.333333,0.761905,1.428571,979,193,30,0,1,1,2,5,1,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,14,6,16,7,50,0.875,76.190475,84.428574,0.666667,0.761905,3.333333,1773,260,70,2,3,2,4,6,4,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,12,3,12,8,66,1.0,85.714287,64.714287,0.571429,0.571429,7.047619,1359,158,148,4,0,3,5,8,2,0,0,0,9cb48de6a17ebe1,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,Team B,16,6,7,9,56,2.285714,86.666664,92.0,1.066667,0.466667,4.8,1380,186,72,0,2,6,1,6,2,2,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
Magnojez,76561198372023214,Team A,7,2,13,4,57,0.538462,60.000004,48.466667,0.466667,0.866667,0.4,727,210,6,0,6,2,4,3,2,0,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
nafany,76561198059714128,Team A,10,3,13,4,40,0.769231,80.0,65.73333,0.666667,0.866667,1.2,986,202,18,1,1,3,1,8,1,0,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
Ax1Le,76561198045433304,Team A,12,3,13,7,58,0.923077,93.333336,95.73333,0.8,0.866667,3.0,1436,173,45,1,1,2,3,5,2,1,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
s1ren,76561198167785069,Team A,5,1,11,3,60,0.454545,60.000004,34.200001,0.333333,0.733333,1.666667,513,106,25,0,4,2,2,3,1,0,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,Team B,12,1,7,6,50,1.714286,100.0,79.933334,0.8,0.466667,7.066667,1199,134,106,3,0,1,3,9,0,1,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
KaiR0N-,76561198157151718,Team A,9,5,14,7,77,0.642857,80.0,70.333336,0.6,0.933333,0.666667,1055,170,10,0,1,2,3,4,1,1,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,Team B,6,3,11,3,50,0.545455,80.0,53.400002,0.4,0.733333,1.666667,801,133,25,2,0,0,2,4,1,0,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,Team B,20,5,7,6,30,2.857143,100.0,124.26667,1.333333,0.466667,3.533333,1864,152,53,4,0,3,3,5,6,1,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,Team B,10,8,11,6,60,0.909091,100.0,87.333336,0.666667,0.733333,4.733333,1310,111,71,4,0,3,6,6,2,0,0,0,f101e58241ef725a,BLAST Bounty 2025 Season 1 Finals
Ax1Le,76561198045433304,BetBoom,12,7,15,9,75,0.8,75.0,101.0625,0.75,0.9375,0.5625,1617,233,9,3,0,2,3,7,1,1,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,12,1,7,5,41,1.714286,87.5,57.5,0.75,0.4375,1.875,920,88,30,1,2,3,3,5,2,1,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,4,9,9,1,25,0.444444,81.25,66.6875,0.25,0.5625,6.375,1067,158,102,3,1,0,4,4,0,0,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
s1ren,76561198167785069,BetBoom,4,2,12,2,50,0.333333,50.0,35.6875,0.25,0.75,1.25,571,120,20,0,2,0,2,4,0,0,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,16,9,7,7,43,2.285714,81.25,101.8125,1.0,0.4375,0.625,1629,102,10,2,2,3,1,6,2,2,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,17,4,15,11,64,1.133333,75.0,96.8125,1.0625,0.9375,3.3125,1549,217,53,2,0,4,5,3,4,2,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
nafany,76561198059714128,BetBoom,6,3,14,3,50,0.428571,56.25,56.0,0.375,0.875,2.0625,896,166,33,0,4,0,3,4,1,0,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,16,7,8,9,56,2.0,87.5,98.125,1.0,0.5,3.1875,1570,145,51,2,1,4,3,5,1,3,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
KaiR0N-,76561198157151718,BetBoom,14,2,12,10,71,1.166667,87.5,81.375,0.875,0.75,2.5625,1302,235,41,2,0,3,2,8,0,2,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
Magnojez,76561198372023214,BetBoom,10,2,12,7,70,0.833333,56.25,54.0625,0.625,0.75,4.125,865,179,66,1,4,3,1,3,2,1,0,0,d8db8a4b337c6ecd,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,15,3,15,4,26,1.0,75.0,49.833332,0.625,0.625,0.041667,1196,89,1,0,3,4,2,8,2,1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,14,9,20,9,64,0.7,75.0,78.333336,0.583333,0.833333,2.291667,1880,323,55,5,2,1,5,4,5,0,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,8,3,15,1,12,0.533333,70.833328,43.25,0.333333,0.625,1.416667,1038,154,34,1,3,0,5,2,3,0,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,15,5,13,8,53,1.153846,66.666672,67.875,0.625,0.541667,4.916667,1629,229,118,3,3,4,0,8,2,1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,17,7,20,10,58,0.85,75.0,72.125,0.708333,0.833333,6.416667,1731,313,154,6,3,3,8,7,2,2,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,25,3,17,6,24,1.470588,83.333328,100.583336,1.041667,0.708333,2.375,2414,159,57,3,2,7,6,7,6,2,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,15,4,15,10,66,1.0,75.0,75.916664,0.625,0.625,3.0,1822,290,72,1,0,5,4,11,2,0,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,20,11,13,8,40,1.538462,91.666672,102.875,0.833333,0.541667,15.666667,2469,506,376,0,0,7,4,9,4,1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,14,6,16,6,42,0.875,66.666672,72.833336,0.583333,0.666667,8.833333,1748,455,212,3,2,5,1,6,4,0,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,20,6,19,10,50,1.052632,66.666672,81.041664,0.833333,0.791667,4.666667,1945,297,112,2,6,1,4,5,6,1,0,0,bde29716c3d4329a,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,G2,12,5,15,12,100,0.8,72.727272,65.318184,0.545455,0.681818,0.045455,1437,341,1,4,2,0,5,4,4,0,0,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,G2,23,3,12,18,78,1.916667,81.818184,97.545456,1.045455,0.545455,2.681818,2146,378,59,3,1,4,4,5,2,2,2,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,13,8,18,10,76,0.722222,72.727272,78.818184,0.590909,0.818182,4.772727,1734,221,105,2,4,4,5,5,4,0,0,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,G2,4,6,14,3,75,0.285714,68.181816,43.045456,0.181818,0.636364,6.5,947,112,143,2,2,1,2,4,0,0,0,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,11,9,14,9,81,0.785714,72.727272,64.681816,0.5,0.636364,0.863636,1423,155,19,2,5,0,6,7,2,0,0,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,9,7,11,7,77,0.818182,72.727272,58.090908,0.409091,0.5,4.363636,1278,236,96,1,1,0,2,4,1,1,0,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,G2,17,5,11,9,52,1.545455,86.36364,73.409088,0.772727,0.5,6.863636,1615,273,151,3,2,4,3,5,4,0,1,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,G2,13,4,14,6,46,0.928571,77.272728,61.18182,0.590909,0.636364,1.636364,1346,134,36,2,1,3,2,1,6,0,0,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,17,4,13,6,35,1.307692,81.818184,73.36364,0.772727,0.590909,5.136364,1614,124,113,2,1,6,1,6,2,1,1,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,16,2,13,11,68,1.230769,81.818184,69.727272,0.727273,0.590909,3.5,1534,303,77,1,3,4,3,5,4,1,0,0,3e8f1122a4f9f6e8,BLAST Bounty 2025 Season 1 Finals
malbsMd,76561198080703143,Eternal Fire,13,6,20,7,53,0.65,66.666672,55.875,0.541667,0.833333,4.041667,1341,171,97,1,6,2,5,6,2,1,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
m0NESY,76561198074762801,Eternal Fire,20,3,20,8,40,1.0,70.833328,81.708336,0.833333,0.833333,3.125,1961,245,75,5,1,5,3,10,3,0,1,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,G2,16,7,14,9,56,1.142857,70.833328,82.458336,0.666667,0.583333,3.708333,1979,353,89,1,3,4,1,8,4,0,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
Snax,76561197982141573,Eternal Fire,11,6,17,6,54,0.647059,75.0,56.041668,0.458333,0.708333,8.708333,1345,282,209,0,0,0,6,7,2,0,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,G2,19,6,15,8,42,1.266667,83.333328,78.041664,0.791667,0.625,3.166667,1873,328,76,2,2,4,4,7,6,0,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
HeavyGod,76561198068002993,Eternal Fire,15,9,18,10,66,0.833333,70.833328,83.041664,0.625,0.75,0.0,1993,337,0,2,3,1,1,8,1,0,0,1,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,G2,17,4,13,5,29,1.307692,83.333328,82.041664,0.708333,0.541667,0.0,1969,209,0,3,0,1,4,10,0,1,1,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,Eternal Fire,17,4,16,8,47,1.0625,79.166672,75.583336,0.708333,0.666667,4.416667,1814,247,106,4,2,6,2,13,2,0,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,G2,20,5,16,10,50,1.25,83.333328,79.541664,0.833333,0.666667,1.708333,1909,245,41,2,1,3,4,9,4,1,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,G2,19,4,18,12,63,1.055556,66.666672,86.166664,0.791667,0.75,1.791667,2068,230,43,4,6,3,4,8,4,1,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
nqz,76561198350342505,paiN,14,4,17,1,7,0.823529,79.310349,44.965519,0.482759,0.586207,0.586207,1304,115,17,1,4,6,5,7,2,1,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
snow,76561198377335846,paiN,27,4,20,18,66,1.35,68.965515,95.482758,0.931035,0.689655,2.655172,2769,436,77,3,2,3,4,9,6,2,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
Kauez,76561198385657675,paiN,12,6,21,10,83,0.571429,75.862068,60.862068,0.413793,0.724138,5.448276,1765,324,158,3,1,3,8,10,1,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
iM,76561198050250233,Natus Vincere,30,4,20,16,53,1.5,75.862068,112.758621,1.034483,0.689655,12.75862,3270,397,370,5,2,5,4,9,4,3,1,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
w0nderful,76561199063068840,Natus Vincere,34,7,18,13,38,1.888889,86.206894,114.206894,1.172414,0.62069,0.965517,3312,296,28,4,2,5,6,10,7,2,1,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
Aleksib,76561198013243326,Natus Vincere,6,12,21,3,50,0.285714,58.620689,35.379311,0.206897,0.724138,2.965517,1026,241,86,1,5,0,3,2,2,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
davideuS,76561198120491311,paiN,23,7,22,14,60,1.045455,65.517242,75.551727,0.793103,0.758621,2.0,2191,395,58,2,3,7,2,7,1,2,2,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
jL,76561198176878303,Natus Vincere,14,4,18,11,78,0.777778,75.862068,59.827587,0.482759,0.62069,3.137931,1735,268,91,2,1,6,6,8,3,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
biguzera,76561198015308884,paiN,18,6,20,9,50,0.9,68.965515,79.551727,0.62069,0.689655,8.206897,2307,498,238,7,3,2,5,10,4,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
b1t,76561198246607476,Natus Vincere,16,8,17,7,43,0.941176,68.965515,59.862068,0.551724,0.586207,3.172414,1736,256,92,1,6,3,2,10,3,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
b1t,76561198246607476,Natus Vincere,14,1,14,7,50,1.0,70.0,78.050003,0.7,0.7,4.3,1561,267,86,1,3,2,0,10,2,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
snow,76561198377335846,paiN,17,4,10,9,52,1.7,85.0,91.75,0.85,0.5,8.2,1835,254,164,0,2,3,3,2,3,3,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
iM,76561198050250233,Natus Vincere,14,3,13,7,50,1.076923,70.0,79.900002,0.7,0.65,5.0,1598,179,100,3,1,2,2,6,4,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
nqz,76561198350342505,paiN,15,3,12,7,46,1.25,75.0,70.349998,0.75,0.6,5.45,1407,81,109,3,1,3,3,8,2,1,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
w0nderful,76561199063068840,Natus Vincere,16,1,16,12,75,1.0,70.0,81.699997,0.8,0.8,2.5,1634,220,50,4,2,2,3,7,3,1,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
davideuS,76561198120491311,paiN,12,4,12,9,75,1.0,75.0,72.25,0.6,0.6,1.35,1445,213,27,1,2,2,2,6,0,2,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
jL,76561198176878303,Natus Vincere,9,5,17,7,77,0.529412,60.000004,62.049999,0.45,0.85,2.75,1241,207,55,1,4,0,4,5,2,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
Kauez,76561198385657675,paiN,19,2,14,10,52,1.357143,70.0,91.599998,0.95,0.7,3.55,1832,363,71,4,1,2,1,7,0,4,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
Aleksib,76561198013243326,Natus Vincere,7,1,13,1,14,0.538462,60.000004,40.599998,0.35,0.65,5.05,812,142,101,0,1,4,1,5,1,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
biguzera,76561198015308884,paiN,10,2,12,7,70,0.833333,70.0,53.200001,0.5,0.6,2.0,1064,113,40,3,3,2,3,10,0,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
iM,76561198050250233,Natus Vincere,20,6,17,11,55,1.176471,65.517242,78.965515,0.689655,0.586207,3.344828,2290,403,97,4,1,4,1,6,4,2,0,0,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
biguzera,76561198015308884,paiN,11,6,18,5,45,0.611111,65.517242,52.310345,0.37931,0.62069,7.758621,1517,229,225,0,7,3,6,5,0,2,0,0,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
b1t,76561198246607476,Natus Vincere,20,4,14,10,50,1.428571,82.758621,69.206894,0.689655,0.482759,3.068965,2007,337,89,6,1,3,5,7,5,1,0,0,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
snow,76561198377335846,paiN,18,7,18,11,61,1.0,79.310349,75.103447,0.62069,0.62069,2.344828,2178,454,68,1,1,1,7,11,2,1,0,0,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
w0nderful,76561199063068840,Natus Vincere,16,4,17,1,6,0.941176,72.413788,53.862068,0.551724,0.586207,0.862069,1562,75,25,4,0,3,5,7,3,1,0,0,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
Kauez,76561198385657675,paiN,15,2,20,11,73,0.75,58.620689,48.655174,0.517241,0.689655,3.034483,1411,244,88,3,5,5,3,9,3,0,0,0,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
nqz,76561198350342505,paiN,14,4,18,4,28,0.777778,68.965515,44.758621,0.482759,0.62069,0.862069,1298,74,25,2,1,3,2,10,2,0,0,0,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
davideuS,76561198120491311,paiN,19,6,21,11,57,0.904762,58.620689,78.413795,0.655172,0.724138,6.482759,2274,411,188,1,8,5,0,4,6,1,0,0,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
Aleksib,76561198013243326,Natus Vincere,14,10,14,4,28,1.0,79.310349,67.034485,0.482759,0.482759,8.172414,1944,217,237,3,2,4,1,6,1,2,0,0,341d802e05c4673,BLAST Bounty 2025 Season 1 Finals
